id,type,group,name
0,5,gyro,xRaw
1,5,gyro,yRaw
2,5,gyro,zRaw
3,7,gyro,xVariance
4,7,ctrlINDI,du_p
5,7,gyro,zVariance
6,3,pwm,m1_pwm
7,3,pwm,m2_pwm
8,3,pwm,m3_pwm
9,3,pwm,m4_pwm
10,2,crtp,rxRate
11,2,crtp,txRate
12,7,pm,vbat
13,2,pm,vbatMV
14,7,pm,extVbat
15,2,pm,extVbatMV
16,7,pm,extCurr
17,7,pm,chargeCurrent
18,4,pm,state
19,1,pm,batteryLevel
20,1,radio,rssi
21,1,radio,isConnected
22,4,sys,armed
23,7,extrx,thrust
24,7,extrx,roll
25,7,extrx,pitch
26,7,extrx,yawRate
27,7,extrx,zVel
28,1,extrx,AltHold
29,7,health,motorVarXM2
30,2,extrx_raw,ch0
31,2,extrx_raw,ch1
32,2,extrx_raw,ch2
33,2,extrx_raw,ch3
34,7,health,motorVarYM4
35,2,extrx_raw,ch5
36,2,extrx_raw,ch6
37,2,extrx_raw,ch7
38,3,memTst,errCntW
39,2,range,front
40,2,range,back
41,2,range,up
42,2,range,left
43,2,range,right
44,2,range,zrange
45,1,sys,canfly
46,1,sys,isFlying
47,1,sys,isTumbled
48,7,ext_pos,X
49,7,ext_pos,Y
50,7,kalman,varY
51,7,locSrv,x
52,7,locSrv,y
53,7,locSrv,z
54,7,locSrv,qx
55,7,locSrv,qy
56,7,locSrv,qz
57,7,locSrv,qw
58,2,locSrvZ,tick
59,7,pid_attitude,roll_outP
60,7,pid_attitude,roll_outI
61,7,pid_attitude,roll_outD
62,7,pid_attitude,pitch_outP
63,7,pid_attitude,pitch_outI
64,7,pid_attitude,pitch_outD
65,7,pid_attitude,yaw_outP
66,7,pid_attitude,yaw_outI
67,7,pid_attitude,yaw_outD
68,7,pid_rate,roll_outP
69,7,pid_rate,roll_outI
70,7,ring,fadeTime
71,7,pid_rate,pitch_outP
72,7,pid_rate,pitch_outI
73,7,pid_rate,pitch_outD
74,7,pid_rate,yaw_outP
75,6,gps,nsat
76,6,gps,fix
77,7,usd,spiWrBps
