Time,transforms
1647137340.6050887,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 604643519
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006788901053369045
    y: -0.006174953188747168
    z: 0.020878510549664497
  rotation: 
    x: 0.005990504318914259
    y: -0.009285395082841161
    z: 0.0471236931793532
    w: 0.998827939555807]"
1647137340.6076705,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 607284223
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006791172549128532
    y: -0.006172097288072109
    z: 0.02088126167654991
  rotation: 
    x: 0.006071894296256743
    y: -0.009296937641442888
    z: 0.04713052780223449
    w: 0.9988270182565292]"
1647137340.614577,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 614207286
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006799126043915749
    y: -0.006176475435495377
    z: 0.020877884700894356
  rotation: 
    x: 0.0060086669919351835
    y: -0.009362462057578187
    z: 0.04712501208956747
    w: 0.9988270488231477]"
1647137340.6210704,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 620715004
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006808026228100061
    y: -0.0061815897934138775
    z: 0.02089078724384308
  rotation: 
    x: 0.005811641464595087
    y: -0.009363653148226014
    z: 0.047115534594037334
    w: 0.9988286505818327]"
1647137340.6280475,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 627670397
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0068073454312980175
    y: -0.006185193546116352
    z: 0.020896390080451965
  rotation: 
    x: 0.005919608373569974
    y: -0.009274214640973834
    z: 0.04713465714431645
    w: 0.9988279487856677]"
1647137340.6397414,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 639436159
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006804199889302254
    y: -0.006174022797495127
    z: 0.020874056965112686
  rotation: 
    x: 0.006078543281856346
    y: -0.009280610112586742
    z: 0.047154666082231046
    w: 0.9988259903777945]"
1647137340.6408563,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 640535690
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006807258818298578
    y: -0.006181181408464909
    z: 0.020870987325906754
  rotation: 
    x: 0.0060370257273769925
    y: -0.009345121704826943
    z: 0.0471161158059281
    w: 0.9988274599008837]"
1647137340.6473343,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 647008220
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00680325273424387
    y: -0.006192976143211126
    z: 0.020870082080364227
  rotation: 
    x: 0.006060518782276292
    y: -0.009227431367443433
    z: 0.04713131853863671
    w: 0.9988276945676158]"
1647137340.662465,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 662005912
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006804100703448057
    y: -0.006182692479342222
    z: 0.02086908556520939
  rotation: 
    x: 0.006038028102092975
    y: -0.009190808709055873
    z: 0.04713817173500759
    w: 0.9988278450350655]"
1647137340.662943,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 662576576
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006802015472203493
    y: -0.006180189084261656
    z: 0.02087273634970188
  rotation: 
    x: 0.006040283772871124
    y: -0.009323913339156198
    z: 0.047139501722677196
    w: 0.9988265349845912]"
1647137340.6675296,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 667173227
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006801320239901543
    y: -0.006174852140247822
    z: 0.020866811275482178
  rotation: 
    x: 0.006078023858441305
    y: -0.009362832534170836
    z: 0.047125316608090884
    w: 0.9988266113432803]"
1647137340.6744866,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 674122741
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00680558942258358
    y: -0.006172786466777325
    z: 0.02087048627436161
  rotation: 
    x: 0.005967490350047007
    y: -0.009388156195895565
    z: 0.04708243141719324
    w: 0.9988290625697717]"
1647137340.6806858,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 680294333
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006803386379033327
    y: -0.006174637470394373
    z: 0.020874766632914543
  rotation: 
    x: 0.005986097832843856
    y: -0.009297923337806092
    z: 0.04710511940681065
    w: 0.9988287255480841]"
1647137340.6890666,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 688611666
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006791917607188225
    y: -0.0061694299802184105
    z: 0.020878121256828308
  rotation: 
    x: 0.006111336843778792
    y: -0.009215775834708008
    z: 0.04715236627157146
    w: 0.9988264991442397]"
1647137340.694475,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 694034729
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006792034488171339
    y: -0.006163130979984999
    z: 0.02088509313762188
  rotation: 
    x: 0.006048667844027522
    y: -0.009248012881334644
    z: 0.047135890572489056
    w: 0.9988273603055724]"
1647137340.7008262,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 700449163
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006793790031224489
    y: -0.006173084024339914
    z: 0.020881662145256996
  rotation: 
    x: 0.0060875061892531595
    y: -0.009226691908089783
    z: 0.04718477278413625
    w: 0.9988250135244604]"
1647137340.7133982,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 712977681
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006810096558183432
    y: -0.006174933165311813
    z: 0.020892024040222168
  rotation: 
    x: 0.005929397920149086
    y: -0.009233606103044014
    z: 0.04715546993746306
    w: 0.998827284576075]"
1647137340.7143872,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 714023574
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0068037305027246475
    y: -0.006176017224788666
    z: 0.02088358998298645
  rotation: 
    x: 0.005968797312851457
    y: -0.009311696243935042
    z: 0.047109349193328987
    w: 0.9988285012905267]"
1647137340.7241046,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 723646061
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006790222600102425
    y: -0.006157879717648029
    z: 0.02086912840604782
  rotation: 
    x: 0.005959568621946626
    y: -0.009161247058436798
    z: 0.04726146594930365
    w: 0.9988227615200294]"
1647137340.7312038,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 730812671
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006813259329646826
    y: -0.006191660184413195
    z: 0.02089270018041134
  rotation: 
    x: 0.005923323230496192
    y: -0.009233647797244225
    z: 0.047137777434542276
    w: 0.9988281553544609]"
1647137340.7356234,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 735200321
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006806160323321819
    y: -0.006188500206917524
    z: 0.02087005041539669
  rotation: 
    x: 0.006004994906189867
    y: -0.009307983596544772
    z: 0.047163629385324785
    w: 0.9988257573474699]"
1647137340.7411392,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 740778780
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006811789236962795
    y: -0.006196882575750351
    z: 0.02088187448680401
  rotation: 
    x: 0.005907569024658563
    y: -0.009272892871620517
    z: 0.047100293935436285
    w: 0.998829653342954]"
1647137340.7475784,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 747183339
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0068104462698102
    y: -0.006198524031788111
    z: 0.0208791121840477
  rotation: 
    x: 0.005913651046779953
    y: -0.009261370580323613
    z: 0.04710046173363201
    w: 0.9988297163434564]"
1647137340.7548232,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 754310465
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006804225500673056
    y: -0.006180587224662304
    z: 0.02086963877081871
  rotation: 
    x: 0.006072967356140333
    y: -0.009277363373325942
    z: 0.04712226275122599
    w: 0.9988275836947711]"
1647137340.7648652,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 764484288
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0067986296489834785
    y: -0.006182757206261158
    z: 0.02088143862783909
  rotation: 
    x: 0.005942360950506591
    y: -0.0092497430536851
    z: 0.04717861850537698
    w: 0.9988259650988749]"
1647137340.7680767,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 767700202
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006802778225392103
    y: -0.006183203775435686
    z: 0.020889947190880775
  rotation: 
    x: 0.0059195929705009994
    y: -0.009215011338942976
    z: 0.047145136097403895
    w: 0.9988280022743876]"
1647137340.7816277,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 781086284
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0067941490560770035
    y: -0.006165585946291685
    z: 0.02087944746017456
  rotation: 
    x: 0.006082306104257388
    y: -0.009295278158382976
    z: 0.04714562708176885
    w: 0.998826257766324]"
1647137340.7820737,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 781594875
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0068039000034332275
    y: -0.0061815171502530575
    z: 0.020891910418868065
  rotation: 
    x: 0.005934440064561437
    y: -0.00915707275176695
    z: 0.04714463650692604
    w: 0.9988284706036211]"
1647137340.787678,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 787127194
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.0067964098416268826
    y: -0.006180373020470142
    z: 0.02087782695889473
  rotation: 
    x: 0.006006096341322605
    y: -0.009328225397050022
    z: 0.04715556534836949
    w: 0.9988259426318262]"
1647137340.7989914,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 798624861
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.00679787527769804
    y: -0.006175180897116661
    z: 0.02088005468249321
  rotation: 
    x: 0.006020572085151834
    y: -0.009269422926401167
    z: 0.04712673687270937
    w: 0.9988277635218744]"
1647137340.8112462,"[header: 
  seq: 0
  stamp: 
    secs: 1647137340
    nsecs: 810751043
  frame_id: ""world""
child_frame_id: ""cf7""
transform: 
  translation: 
    x: -0.006792027968913317
    y: -0.00618639076128602
    z: 0.020880362018942833
  rotation: 
    x: 0.0060194925607105565
    y: -0.009295225030814699
    z: 0.0471601070710357
    w: 0.9988259552104093]"
