id,type,group,name
0,3,pwm,m1_pwm
1,3,pwm,m2_pwm
2,3,pwm,m3_pwm
3,3,pwm,m4_pwm
4,2,crtp,rxRate
5,2,crtp,rxDrpRte
6,2,crtp,txRate
7,4,sys,canfly
8,1,sitAw,FFAccWZDetected
9,1,sitAw,ARDetected
10,1,sitAw,TuDetected
11,7,ext_pos,X
12,7,ext_pos,Y
13,7,ext_pos,Z
14,7,pid_attitude,roll_outP
15,7,pid_attitude,roll_outI
16,7,pid_attitude,roll_outD
17,7,pid_attitude,pitch_outP
18,7,pid_attitude,pitch_outI
19,7,pid_attitude,pitch_outD
20,7,pid_attitude,yaw_outP
21,7,pid_attitude,yaw_outI
22,7,pid_attitude,yaw_outD
23,7,pid_rate,roll_outP
24,7,pid_rate,roll_outI
25,7,pid_rate,roll_outD
26,7,pid_rate,pitch_outP
27,7,pid_rate,pitch_outI
28,7,pid_rate,pitch_outD
29,7,pid_rate,yaw_outP
30,7,pid_rate,yaw_outI
31,7,pid_rate,yaw_outD
32,7,sensorfusion6,qw
33,7,sensorfusion6,qx
34,7,sensorfusion6,qy
35,7,sensorfusion6,qz
36,7,sensorfusion6,gravityX
37,7,sensorfusion6,gravityY
38,7,sensorfusion6,gravityZ
39,7,sensorfusion6,accZbase
40,1,sensorfusion6,isInit
41,1,sensorfusion6,isCalibrated
42,7,ctrlStat,edist
43,7,ctrltarget,x
44,7,ctrltarget,y
45,7,ctrltarget,z
46,7,ctrltarget,vx
47,7,ctrltarget,vy
48,7,ctrltarget,vz
49,7,ctrltarget,ax
50,7,ctrltarget,ay
51,7,ctrltarget,az
52,7,ctrltarget,roll
53,7,ctrltarget,pitch
54,7,ctrltarget,yaw
55,7,ctrltarget,rollRate
56,7,ctrltarget,pitchRate
57,7,ctrltarget,yawRate
58,7,stateEstimate,x
59,7,stateEstimate,y
60,7,stateEstimate,z
61,7,stateEstimate,vx
62,7,stateEstimate,vy
63,7,stateEstimate,vz
64,7,stateEstimate,ax
65,7,stateEstimate,ay
66,7,stateEstimate,az
67,7,stateEstimate,roll
68,7,stateEstimate,pitch
69,7,stateEstimate,yaw
70,7,posEstimatorAlt,estimatedZ
71,7,posEstimatorAlt,estVZ
72,7,posEstimatorAlt,velocityZ
73,7,posCtl,targetVX
74,7,posCtl,targetVY
75,7,posCtl,targetVZ
76,7,posCtl,targetX
77,7,posCtl,targetY
78,7,posCtl,targetZ
79,7,posCtl,Xp
80,7,posCtl,Xi
81,7,posCtl,Xd
82,7,posCtl,Yp
83,7,posCtl,Yi
84,7,posCtl,Yd
85,7,posCtl,Zp
86,7,posCtl,Zi
87,7,posCtl,Zd
88,7,posCtl,VXp
89,7,posCtl,VXi
90,7,posCtl,VXd
91,7,posCtl,VZp
92,7,posCtl,VZi
93,7,posCtl,VZd
94,7,controller,actuatorThrust
95,7,controller,roll
96,7,controller,pitch
97,7,controller,yaw
98,7,controller,rollRate
99,7,controller,pitchRate
100,7,controller,yawRate
101,7,ctrlMel,zdx
102,7,ctrlMel,zdy
103,7,ctrlMel,zdz
104,7,ctrlMel,i_err_x
105,7,ctrlMel,i_err_y
106,7,ctrlMel,i_err_z
107,7,ctrlMel,rolld
108,7,ctrlMel,pitchd
109,6,motor,m4
110,6,motor,m1
111,6,motor,m2
112,6,motor,m3
113,7,vicon,v_x
114,7,vicon,v_y
115,7,vicon,v_z
116,2,vicon,dt
117,7,vicon,roll
118,7,vicon,pitch
119,7,vicon,yaw
120,7,vicon,x
121,7,vicon,y
122,7,vicon,z
123,3,ekfprof,usec_gain
124,3,ekfprof,usec_corr
125,3,ekfprof,usec_cov
126,7,pm,vbat
127,2,pm,vbatMV
128,7,pm,extVbat
129,2,pm,extVbatMV
130,7,pm,extCurr
